feature	profile	wire_B	budget_s	measured_s	status	note
call_connect	bandwidth	-	300	8.9	PASS	outcome=Connected app_end=Call_ended peer_end=localHangup media=realAudio run=2026-09-03T19:05:35Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.211 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	bandwidth	-	-	2240	INFO	chip_live=87 chip_demo=0 rtt=56..2240ms loss_max=38.0% reconnects=0 run=2026-09-03T19:05:35Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.211 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	bandwidth	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	narrow	-	300	9.0	PASS	outcome=Connected app_end=Call_ended peer_end=localHangup media=realAudio run=2026-09-03T19:13:01Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.151 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	narrow	-	-	2550	INFO	chip_live=53 chip_demo=0 rtt=306..2550ms loss_max=72.3% reconnects=3 run=2026-09-03T19:13:01Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.151 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	narrow	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	loss60	-	300	9.7	PASS	outcome=Connected app_end=Call_ended peer_end=? media=realAudio run=2026-09-03T19:19:29Z bw=- delay=- plr=0.60 icmp_rtt=? icmp_loss=100.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	loss60	-	-	351	INFO	chip_live=79 chip_demo=0 rtt=1..351ms loss_max=71.7% reconnects=1 run=2026-09-03T19:19:29Z bw=- delay=- plr=0.60 icmp_rtt=? icmp_loss=100.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	loss60	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	6.4	PASS	outcome=Connected app_end=Call_ended peer_end=? media=noLocalAudio run=2026-09-03T19:59:28Z bw=- delay=40 plr=0.0 icmp_rtt=81.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	83	PASS	chip_live=64 chip_demo=0 rtt=81..83ms loss_max=0.0% reconnects=1 run=2026-09-03T19:59:28Z bw=- delay=40 plr=0.0 icmp_rtt=81.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	loss10	-	300	10.9	PASS	outcome=Connected app_end=Call_ended peer_end=? media=realAudio run=2026-09-03T20:19:49Z bw=- delay=- plr=0.10 icmp_rtt=1.085 icmp_loss=12.5% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	loss10	-	-	1	INFO	chip_live=87 chip_demo=0 rtt=1..1ms loss_max=17.0% reconnects=0 run=2026-09-03T20:19:49Z bw=- delay=- plr=0.10 icmp_rtt=1.085 icmp_loss=12.5% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	loss10	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	extreme	-	300	6.3	PASS	outcome=Connected app_end=Call_ended peer_end=? media=noLocalAudio run=2026-09-03T20:26:05Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.579 icmp_loss=22.5% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	extreme	-	1000	5355	PASS	chip_live=67 chip_demo=0 rtt=2..5355ms loss_max=0.0% reconnects=3 run=2026-09-03T20:26:05Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.579 icmp_loss=22.5% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	6.5	PASS	outcome=Connected app_end=Call_ended peer_end=localHangup media=noLocalAudio run=2026-09-03T20:37:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.313 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	normal	-	40	82	PASS	chip_live=64 chip_demo=0 rtt=81..82ms loss_max=0.0% reconnects=1 run=2026-09-03T20:37:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.313 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	normal	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	extreme	-	300	6.9	PASS	outcome=Connected app_end=Call_ended peer_end=? media=noLocalAudio run=2026-09-03T20:45:10Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.512 icmp_loss=35.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped)
monitor_bar	extreme	-	1000	5288	PASS	chip_live=65 chip_demo=0 rtt=2..5288ms loss_max=0.0% reconnects=3 run=2026-09-03T20:45:10Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.512 icmp_loss=35.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
photo	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
video_note	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
voice_note	extreme	-	-	-	NOT_WIRED	chat tab is the loopback demo thread (ChatDemoController), not bound to the live call; see tools/dossier/LANE_TABLE.md
call_connect	normal	-	300	6.5	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1179545750B
monitor_bar	normal	-	40	83	PASS	chip_live=87 chip_demo=0 rtt=81..83ms loss_max=0.0% reconnects=0 run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	27	30	-	FAIL	sender_ms=484 peer_ms=- sha_match=false media=realAudio typed in the composer, sent with the send button; phone never reported it verified within the budget run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	normal	57431	30	1.6	PASS	sender_ms=1897 peer_ms=1563 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	normal	24000	30	7.4	PASS	sender_ms=7412 peer_ms=7412 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	normal	64000	30	0.9	PASS	sender_ms=913 peer_ms=913 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-03T23:00:32Z bw=- delay=40 plr=0.0 icmp_rtt=80.984 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	latency	-	300	6.3	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=176143571B
monitor_bar	latency	-	900	1800	PASS	chip_live=87 chip_demo=0 rtt=1..1800ms loss_max=0.0% reconnects=0 run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	latency	27	30	1.0	PASS	sender_ms=2120 peer_ms=976 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	latency	57431	30	11.4	PASS	sender_ms=12577 peer_ms=11446 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	latency	24000	30	12.9	PASS	sender_ms=14066 peer_ms=12920 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	latency	64000	30	6.8	PASS	sender_ms=7665 peer_ms=6804 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-03T23:05:10Z bw=- delay=900 plr=0.0 icmp_rtt=1801.120 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	loss10	-	300	5.4	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=85625821B
monitor_bar	loss10	-	-	2	INFO	chip_live=86 chip_demo=0 rtt=1..2ms loss_max=14.0% reconnects=0 run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped
